Dataset,Amount
aokvqa_train,17056
ai2d_train,3310
chartqa,2516
icon_vqa,7131
vqav2,82779
tqa_train,6387
viquae_train,1051
mapqa_train,483416
crpe,6448
kvqa,10403
deepform,1789
infographicsQA,4026
figureqa,100000
plotqa,157045
wikitable,2033
hw_squad,4345
tatqa,2210
visualmrc,2397
idocvqa,32056
tabfact,12890
chart_to_text,27793
dvqa,199364
docvqa,10111
docvqa_val,5286
mathverse,3596
text_vqa,34591
ocrvqa,183100
stvqa,17731
textcaps,21942
gpt4v_instruction_ocr,19756
imagenet_multi_task,42446
agent_prompt,8343
com_vint_en,11793
com_vint_zh,11793
vg_vqa_en,148823
superCLEVR_train,60000
mathocr_v2,22880
biaopan_train,480
biaopan_train_part2,2489
clock,457
bottle,1501
websrc,4549
chartbench,599616
mm_self_instruct,4278
mathv360k,328551
scene_ocr_crop,234050
iam_crop,48409
sketchyvqa_8k,8000
gpt4gen_rd_cot,3748
screenqa_79k,74180
vizwiz_20k,20521
tallyqa_250k,249274
ocrbench_kv,4058
viscot_363k_train_other,131754
viscot_363k_train_text_doc,57233
viscot_363k_oss_train,175060
VSR_train_yes_no,4758
gpt4v_textvqa_chuanyang_refine_30k,27681
clock_part2,1226
coco_counter_train,82978
sujet_finance_qa_vision_100k,9195
ICDAR19_ReCTS,19825
RCTW,4631
SynthText-800K,857773
uber_text,13941
cog_vlm_sft_single_zh,76621
cog_vlm_sft_multi_zh,56669
cog_vlm_sft_detail_zh,22463
svit_20k,19818
clevr_math_train_val,675284
GeoGPT4V-1.1,23704
chartgemma,163238
sharegpt4o_qa,96825
sharegpt4o_qa_0819,38983
clock_1_2w,1226
raven_train,41995
k12_printing_train,256636
image_textualization_train,99573
chrome_writting_train,8825
mmc,371027
vqa_rad,1793
mm_tabmwp,22662
